num_step                                                    Cn                                                          p_real                                                      p_bar                                                       upperbound                                                  lowerbound                                                  
1                                                           4                                                           1.0                                                         1.0                                                         1.0                                                         1.0                                                         
2                                                           12                                                          0.75                                                        0.750342                                                    0.7510346483653683                                          0.7496493516346316                                          
3                                                           36                                                          0.5625                                                      0.5623433333333333                                          0.5631372556162819                                          0.5615494110503847                                          
4                                                           100                                                         0.390625                                                    0.39049866666666666                                         0.3912794086786211                                          0.3897179246547122                                          
5                                                           284                                                         0.27734375                                                  0.277442                                                    0.2781585275641969                                          0.27672547243580314                                         
6                                                           780                                                         0.1904296875                                                0.190578                                                    0.19120654203378873                                         0.18994945796621127                                         
7                                                           2172                                                        0.132568359375                                              0.13240466666666667                                         0.13294706792906308                                         0.13186226540427026                                         
8                                                           5916                                                        0.09027099609375                                            0.09006                                                     0.09051812373357004                                         0.08960187626642996                                         
9                                                           16268                                                       0.0620574951171875                                          0.06195066666666667                                         0.062336452498154206                                        0.06156488083517913                                         
10                                                          44100                                                       0.042057037353515625                                        0.04207933333333334                                         0.04240063252923725                                         0.04175803413742942                                         
11                                                          120292                                                      0.028679847717285156                                        0.028605333333333333                                        0.02887210014954049                                         0.028338566517126178                                        
12                                                          324932                                                      0.019367456436157227                                        0.019511333333333332                                        0.019732681130932045                                        0.01928998553573462                                         
13                                                          881500                                                      0.013135373592376709                                        0.013096666666666666                                        0.013278606644219183                                        0.012914726689114149                                        
14                                                          2374444                                                     0.008845493197441101                                        0.00889                                                     0.009040218095413836                                        0.008739781904586165                                        
15                                                          6416596                                                     0.005975920706987381                                        0.005945333333333334                                        0.006068361253044064                                        0.005822305413622603                                        
16                                                          17245332                                                    0.004015241749584675                                        0.003964666666666667                                        0.0040652326614591715                                       0.003864100671874162                                        
17                                                          46466676                                                    0.002704716520383954                                        0.002766666666666667                                        0.0028507262540750002                                       0.0026826070792583335                                       
18                                                          124658732                                                   0.0018140233005397022                                       0.0017953333333333332                                       0.001863080757415                                           0.0017275859092516664                                       
19                                                          335116620                                                   0.0012191471614642069                                       0.0012433333333333333                                       0.001299727486040047                                        0.0011869391806266195                                       
20                                                          897697164                                                   0.0008164508144545835                                       0.000808                                                    0.000853471637736488                                        0.000762528362263512                                        
21                                                          2408806028                                                  0.000547699080016173                                        0.0005453333333333333                                       0.0005826947223678714                                       0.0005079719442987953                                       
22                                                          6444560484                                                  0.00036633085096582363                                      0.00038133333333333335                                      0.00041257829566480355                                      0.00035008837100186316                                      
23                                                          17266613812                                                 0.00024537334030583224                                      0.00023866666666666668                                      0.00026338700973738686                                      0.0002139463235959465                                       
24                                                          46146397316                                                 0.00016394493697191592                                      0.00014933333333333332                                      0.00016888826900945622                                      0.00012977839765721043                                      
25                                                          123481354908                                                0.00010967347466461774                                      0.00011533333333333334                                      0.00013251885889456892                                      9.814780777209775e-05                                       
26                                                          329712786220                                                7.321094535495121e-05                                       7.466666666666666e-05                                       8.849461058034672e-05                                       6.08387227529866e-05                                        
27                                                          881317491628                                                4.892294856051471e-05                                       3.6e-05                                                     4.560182695415825e-05                                       2.6398173045841745e-05                                      
28                                                          0                                                           0.0                                                         2.5333333333333334e-05                                      3.338806560199885e-05                                       1.727860106466782e-05                                       
29                                                          0                                                           0.0                                                         2.1333333333333335e-05                                      2.8724877374938755e-05                                      1.3941789291727914e-05                                      
30                                                          0                                                           0.0                                                         1.5333333333333334e-05                                      2.1599838480036658e-05                                      9.06682818663001e-06                                        
31                                                          0                                                           0.0                                                         1.0666666666666667e-05                                      1.589330545770344e-05                                       5.440027875629892e-06                                       
32                                                          0                                                           0.0                                                         2.666666666666667e-06                                       5.279996515553233e-06                                       5.333681778010085e-08                                       
33                                                          0                                                           0.0                                                         6.666666666666667e-06                                       1.0798695702454362e-05                                      2.5346376308789718e-06                                      
34                                                          0                                                           0.0                                                         3.3333333333333333e-06                                      6.255123954269849e-06                                       4.115427123968173e-07                                       
35                                                          0                                                           0.0                                                         1.3333333333333334e-06                                      3.1812378228966194e-06                                      -5.145711562299524e-07
