num_step                                                    Cn                                                          p_real                                                      p_bar                                                       upperbound                                                  lowerbound                                                  cc_lower                                                    cc                                                          cc_upper                                                    
28                                                          0                                                           0.0                                                         2.6e-05                                                     3.416002463551837e-05                                       1.783997536448163e-05                                       2.7068670704146265                                          2.7435257420815535                                          2.7704019440816814                                          
29                                                          0                                                           0.0                                                         2.2e-05                                                     2.9506145955841785e-05                                      1.4493854044158214e-05                                      2.72398218648196                                            2.7634644169672766                                          2.7915799926726024                                          
30                                                          0                                                           0.0                                                         1.2e-05                                                     1.7543683902099758e-05                                      6.4563160979002425e-06                                      2.685712275356219                                           2.741780602275099                                           2.776711023699922                                           
31                                                          0                                                           0.0                                                         1.2e-05                                                     1.7543683902099758e-05                                      6.4563160979002425e-06                                      2.72044622529808                                            2.7753892544726035                                          2.809600251237249                                           
32                                                          0                                                           0.0                                                         7.333333333333333e-06                                       1.1667040502384038e-05                                      2.9996261642826275e-06                                      2.688241858784797                                           2.764398577979111                                           2.8048039694370197                                          
33                                                          0                                                           0.0                                                         7.333333333333333e-06                                       1.1667040502384038e-05                                      2.9996261642826275e-06                                      2.720811091201525                                           2.795522968489229                                           2.8351363622632166                                          
34                                                          0                                                           0.0                                                         2.666666666666667e-06                                       5.279996515553233e-06                                       5.333681778010085e-08                                       2.444269134757661                                           2.7423185110204673                                          2.7979718033485113                                          
35                                                          0                                                           0.0                                                         6.666666666666667e-07                                       1.9733328977777054e-06                                      -6.399995644443718e-07                                      (2.650585549177253+0.2385570172344352j)                     2.664405006688844                                           2.7483099854549415                                          
36                                                          0                                                           0.0                                                         6.666666666666667e-07                                       1.9733328977777054e-06                                      -6.399995644443718e-07                                      (2.681350902442025+0.23458780689868297j)                    2.694647126123113                                           2.7771116131259372                                          
37                                                          0                                                           0.0                                                         6.666666666666667e-07                                       1.9733328977777054e-06                                      -6.399995644443718e-07                                      (2.7107662276846205+0.2307202081691831j)                    2.723570402297343                                           2.8046341457954598                                          
38                                                          0                                                           0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         
39                                                          0                                                           0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         
40                                                          0                                                           0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         
41                                                          0                                                           0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         
42                                                          0                                                           0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         
43                                                          0                                                           0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         
44                                                          0                                                           0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         0.0                                                         
