num_step                                                    Cn                                                          p_real                                                      p_bar                                                       upperbound                                                  lowerbound                                                  cc_lower                                                    cc                                                          cc_upper                                                    
1                                                           4                                                           1.0                                                         1.0                                                         1.0                                                         1.0                                                         4.0                                                         4.0                                                         4.0                                                         
2                                                           12                                                          0.75                                                        0.7498306666666666                                          0.7505237876976146                                          0.7491375456357187                                          3.462109289172065                                           3.463710534479847                                           3.465311039886872                                           
3                                                           36                                                          0.5625                                                      0.56226                                                     0.5630539390307087                                          0.5614660609692913                                          3.299902902010963                                           3.3014575746592243                                          3.303010784478839                                           
4                                                           100                                                         0.390625                                                    0.39016                                                     0.3909406201662674                                          0.3893793798337326                                          3.1597536820308747                                          3.161336145940467                                           3.16291623701968                                            
5                                                           284                                                         0.27734375                                                  0.2773526666666667                                          0.27806912314988047                                         0.2766362101834529                                          3.093440709966471                                           3.0950413848812235                                          3.0966387553199715                                          
6                                                           780                                                         0.1904296875                                                0.190576                                                    0.1912045395122246                                          0.1899474604877754                                          3.03271947345051                                            3.034389725802197                                           3.0360553938894466                                          
7                                                           2172                                                        0.132568359375                                              0.13239466666666666                                         0.1329370505717284                                          0.13185228276160493                                         2.9947338221578352                                          2.996490592358384                                           2.998241204498905                                           
8                                                           5916                                                        0.09027099609375                                            0.09053533333333333                                         0.0909945444677982                                          0.09007612219886846                                         2.96064408405069                                            2.9625265723999976                                          2.964400724437515                                           
9                                                           16268                                                       0.0620574951171875                                          0.06209666666666667                                         0.06248287676526619                                         0.061710456568067146                                        2.9353196984223318                                          2.9373552065228257                                          2.9393794923782055                                          
10                                                          44100                                                       0.042057037353515625                                        0.042108                                                    0.0424294038110087                                          0.0417865961889913                                          2.9118144100730166                                          2.914046333223534                                           2.916262976372584                                           
11                                                          120292                                                      0.028679847717285156                                        0.028692                                                    0.028959158708776706                                        0.02842484129122329                                         2.8939237675805103                                          2.896385933994857                                           2.8988273462323355                                          
12                                                          324932                                                      0.019367456436157227                                        0.01948                                                     0.019701173528421104                                        0.019258826471578897                                        2.87814371808322                                            2.8808837730672674                                          2.883595457328511                                           
13                                                          881500                                                      0.013135373592376709                                        0.013052                                                    0.013233633566224442                                        0.012870366433775557                                        2.8618304984389726                                          2.864917189945425                                           2.86796448255103                                            
14                                                          2374444                                                     0.008845493197441101                                        0.008716                                                    0.008864753810956472                                        0.008567246189043528                                        2.847120147973846                                           2.8506230524139835                                          2.8540708775584918                                          
15                                                          6416596                                                     0.005975920706987381                                        0.005956                                                    0.006079137573273318                                        0.005832862426726683                                        2.8386952662875666                                          2.8426516140867126                                          2.8465323432737635                                          
16                                                          17245332                                                    0.004015241749584675                                        0.003894                                                    0.003993669250733221                                        0.003794330749266779                                        2.8232929288363153                                          2.8278719364490086                                          2.8323423573943076                                          
